,ERAIL Occurrence,model_type,LLM_Date,Date of occurrence,Date_Match,LLM_Time,Time of occurrence,Time_Match,LLM_Country,Country,Country_Match,LLM_AccidentType,Occurrence type,AccidentType_Match,LLM_RegulatoryBody,Reporting Body,RegulatoryBody_Match,LLM_ContributingFactor,"Direct cause description (including causal and contributing factors, excluding those of systemic nature)",ContributingFactors_Match,LLM_SystemicFactor,"Underlying and root causes description (i.e. systemic factors, if any)",SystemicFactors_Match
0,AT-0038,gemini-2.5-pro,21/03/2012,21/03/2012,Match,09:42,00:00,Mismatch,Austria,Austria,Match,Collision with a passenger car at a level crossing,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes – Schiene,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Car driver crossed the level crossing despite 'STOP' signal,Disregard of the rules on the behavior at level crossings with level crossing road signals by the road user,Mismatch,,,Match (Both Missing)
1,AT-0038,gemini-2.5-pro,21/03/2012,21/03/2012,Match,09:42,00:00,Mismatch,Österreich,Austria,Mismatch,Collision,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes – Schiene,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Crossing the level crossing despite a 'HALT' signal,Disregard of the rules on the behavior at level crossings with level crossing road signals by the road user,Mismatch,,,Match (Both Missing)
2,AT-0038,gpt-4o-mini,21/03/2012,21/03/2012,Match,09:42,00:00,Mismatch,Austria,Austria,Match,Collision,Level crossing accident,Mismatch,Landeshauptmann von Kärnten,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Driver's failure to stop at signal,Disregard of the rules on the behavior at level crossings with level crossing road signals by the road user,Mismatch,Use of level crossing despite red signal,,ERAIL_Data_Missing
3,AT-0038,gpt-4o-mini,21/03/2012,21/03/2012,Match,09:42,00:00,Mismatch,Austria,Austria,Match,Level Crossing Collision,Level crossing accident,Mismatch,Österreichische Bundesbahnen,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Violation of Traffic Signals,Disregard of the rules on the behavior at level crossings with level crossing road signals by the road user,Mismatch,Insufficient Safety Measures,,ERAIL_Data_Missing
4,AT-0039,gemini-2.5-pro,02/03/2012,02/03/2012,Match,11:47,11:47,Match,Austria,Austria,Match,Collision with car at level crossing,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes – Schiene,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Non-observance of level crossing regulations by the car driver,Disregard of the rules on the behavior at level crossings with level crossing road signals by the road user,Mismatch,Shortening of the required level crossing activation distance by 10m,,ERAIL_Data_Missing
5,AT-0039,gemini-2.5-pro,02/03/2012,02/03/2012,Match,11:47,11:47,Match,Austria,Austria,Match,Collision,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes – Schiene,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Disregard of level crossing regulations by road user,Disregard of the rules on the behavior at level crossings with level crossing road signals by the road user,Mismatch,Approved shortening of the level crossing activation distance,,ERAIL_Data_Missing
6,AT-0039,gpt-4o-mini,02/03/2012,02/03/2012,Match,11:47,11:47,Match,Austria,Austria,Match,Collision,Level crossing accident,Mismatch,Bundesanstalt für Verkehr,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Non-compliance with traffic regulations,Disregard of the rules on the behavior at level crossings with level crossing road signals by the road user,Mismatch,Shortened activation distance,,ERAIL_Data_Missing
7,AT-0039,gpt-4o-mini,02/03/2012,02/03/2012,Match,11:47,11:47,Match,Österreich,Austria,Mismatch,Zusammenprall,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Nichtbeachtung der Bestimmungen der EKVO,Disregard of the rules on the behavior at level crossings with level crossing road signals by the road user,Mismatch,Verkürzung der erforderlichen Einschaltstrecke,,ERAIL_Data_Missing
8,AT-0043,gemini-2.5-pro,03/02/2012,03/02/2012,Match,13:35,13:35,Match,Austria,Austria,Match,Collision with a small motorcycle,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Crossing the level crossing despite the approach of the train,"Umfahren der Halbschrankenanlage 
Motorbike circumvent the half-barrier",Mismatch,Need for re-evaluation of the level crossing," 
",Mismatch
9,AT-0043,gemini-2.5-pro,03/02/2012,03/02/2012,Match,13:35,13:35,Match,Austria,Austria,Match,Collision,Level crossing accident,Mismatch,Bundesanstalt für Verkehr,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Motorbike driver crossing level crossing despite approaching train,"Umfahren der Halbschrankenanlage 
Motorbike circumvent the half-barrier",Mismatch,Lack of re-evaluation of level crossing operating permit," 
",Mismatch
10,AT-0043,gpt-4o-mini,03/02/2012,03/02/2012,Match,13:35,13:35,Match,Österreich,Austria,Mismatch,Zusammenprall,Level crossing accident,Mismatch,Bundesanstalt für Verkehr,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Übersetzen der EK trotz Annäherung des Zuges,"Umfahren der Halbschrankenanlage 
Motorbike circumvent the half-barrier",Mismatch,Sicherheitseinrichtungen," 
",Mismatch
