,ERAIL Occurrence,model_type,iteration_number,LLM_Date,Date of occurrence,Date_Match,LLM_Time,Time of occurrence,Time_Match,LLM_Country,Country,Country_Match,LLM_AccidentType,Occurrence type,AccidentType_Match,LLM_RegulatoryBody,Reporting Body,RegulatoryBody_Match,LLM_ContributingFactor,"Direct cause description (including causal and contributing factors, excluding those of systemic nature)",ContributingFactors_Match,LLM_SystemicFactor,"Underlying and root causes description (i.e. systemic factors, if any)",SystemicFactors_Match
0,IE-6218,gpt-4o-mini,1,10/10/2023,11/01/2020,Mismatch,10:52,00:00,Mismatch,Ireland,Ireland,Match,Collision with RMME,Trains collision with an obstacle,Mismatch,Railway Accident Investigation Unit,Railway Safety Commission,Mismatch,"Ganger’s Handbook omission, Improper role emphasis of the APWI, Proper communication protocols",,ERAIL_Data_Missing,"Lack of clear classification in IÉ Rule Book, Over-reliance on Ganger’s Handbook",,ERAIL_Data_Missing
1,IE-6262,gpt-4o-mini,1,29/04/2020,29/04/2020,Match,13:40,13:40,Match,Ireland,Ireland,Match,Collision with a car at a level crossing,Level crossing accident,Mismatch,Railway Accident Investigation Unit,Railway Safety Commission,Mismatch,Misuse and abuse of level crossing,,ERAIL_Data_Missing,No systemic factors identified,,ERAIL_Data_Missing
2,IE-6291,gpt-4o-mini,1,24/05/2020,24/05/2020,Match,12:13,12:15,Mismatch,Ireland,Ireland,Match,Level Crossing Incident,Level crossing event,Mismatch,Railway Accident Investigation Unit,Railway Safety Commission,Mismatch,Operational Procedures,,ERAIL_Data_Missing,None,,ERAIL_Data_Missing
3,IE-6305,gpt-4o-mini,1,06/07/2020,07/07/2020,Mismatch,14:25,00:00,Mismatch,Ireland,Ireland,Match,Mechanical Failure,Other event,Mismatch,Railway Accident Investigation Unit,Railway Safety Commission,Mismatch,"Inadequate communication of modifications, Lack of formal maintenance procedures, Non-conformance to welding standards","The Chassis Plate of Locomotive 224 failed as a result of the following causal factor:
• CaF-01 – The flat Bed Plates were not replaced with cupped Bed Plates when Bed 
Plate cracks were identified as set out in the OEM Service Advisory SA 08-007;
• CaF-02 – During a weld repair of the Bed Plate the Bed Plate was unnecessarily 
welded to the Chassis Plate.

Contributory factors include:
• CoF-01 – IÉ-RU had not adopted the EN 15085 standard series, entitled “Railway 
applications – Welding of railway vehicles and components” which were first 
published in 2007; although it is noted that this standard series is not mandatory;
• CoF-02 – While Service Advisory (SA 08-007) was available to the welder carrying 
out the repair through the CME Maintenance work stations, the implications of the 
modification were not discussed at IÉ management level prior to the incident and 
materials for the modification (cupped Bed Plates) were not procured.",Mismatch,"Increased axle load risk, Over-reliance on welder's knowledge","Systemic factors include:
• SF-01 – There was an over-reliance on the knowledge of the welder to develop 
and carry out a repair procedure without any formal instruction or supervision.

Although not causal, contributing or systemic, the RAIU make the following additional 
observation:
• AO-01 – The 201 Locomotive axle loads recorded by the acoustic bearing monitors 
indicate that the specified axle load may have been exceeded.",Mismatch
4,IE-10375,gpt-4o-mini,1,26/08/2021,27/08/2021,Mismatch,23:00,00:20,Mismatch,Ireland,Ireland,Match,Near-miss with train,Other event,Mismatch,RAIU,NIB IE,Mismatch,"Authority gradient, Engineering Supervisor's instruction, Ineffective Safety Tours","The ES instructed the work party to access the work site without the authorisation of the Person in Charge of Possession (PICOP); a violation of the requirements set out in Section T, Part Three, of the IÉ Rule Book. The ES erroneously thought that the last train had passed through the worksite",Mismatch,"Promotion of positive safety culture, Safety Tour Form guidelines discrepancy","The Safety Tours, as set out in the “Safety Tours and Compliance Verification” document (CCE-SMS-008), were ineffective at capturing rule breaks prior to possessions being granted, such as work parties accessing the railway before the possession being granted and equipment left near the railway line overnight",Mismatch
5,IE-10397,gpt-4o-mini,1,07/12/2021,07/12/2021,Match,15:59,16:05,Mismatch,Ireland,Ireland,Match,Double SPAD Incident,Operational event,Mismatch,Railway Accident Investigation Unit,NIB IE,Mismatch,"Incorrect driving techniques, LRA due to Storm Barra, Over-reliance on ATP system, Sanding stopped during incident, Sharp speed downgrade",·        Driver E240 had an over-reliance on the ATP system to control the speed of the train;,Mismatch,"Competency management system issues, Risks associated with driving into the bonds",The competency management system for drivers did not identify that drivers may be over-reliant on the ATP resulting in no requirement for DTEs to check for ATP penalty brake applications,Mismatch
6,IE-10404,gpt-4o-mini,1,21/02/2023,22/02/2023,Mismatch,07:56,11:45,Mismatch,Ireland,Ireland,Match,Track Circuit Fault,Broken rails,Mismatch,Railway Accident Investigation Unit,NIB IE,Mismatch,Defective Weld,"The mechanism of failure of the weld (outlined in full in paragraphs 87 to 94), was likely
to be as a result of hot tearing, likely as the result of difficulties encountered by the Welders
with the Rail Tensors (the Person in Charge of Stressing did raise concerns about the
condition on the Rail Tensors on the day that the welding took place (paragraph 137))
whereby it was only on their third attempt that the welders gap was achieved and the
holding pressure remained static. The weld was then dropped and before it solidified the
Rail Tensors released enough to cause hot tearing; this release may have been slight
enough to not present on the pressure gauge (paragraph 138). The hot tear would not
have been detected, at this stage, by a visual examination by the Weld Supervisor or by
tests by the Ultrasonic Operator (paragraph 138).
The RAIU have identified the following possible causal factor to the hot tearing of the
weld:
• CaF-01 – The Rail Tensors did not operate correctly at the time of welding, resulting
in the Welders encountering difficulties pulling and holding the rail ends to the required
welders gap; which may have caused the Rail Tensors to release enough holding
pressure to cause a hot tear in the weld (paragraph 142).
No contributory factors were identified.",Mismatch,"Calibration Issues, Equipment Management, Training Gaps","The following was identified as a systemic factor in relation to the difficulties
encountered by the Welders:
• SF-01 – Technical Standard for the Stressing of Rail, CCE-TMS-323, did not include
guidance on actions for welders to take once difficulties were encountered with the
Rail Tensors (paragraph 143)",Mismatch
7,IE-6218,gpt-4o-mini,2,10/10/2023,11/01/2020,Mismatch,10:52,00:00,Mismatch,Ireland,Ireland,Match,Collision with Maintenance Equipment,Trains collision with an obstacle,Mismatch,Railway Accident Investigation Unit,Railway Safety Commission,Mismatch,"Improper communication protocols, Lack of maintenance references in Ganger’s Handbook, Supervisory roles of APWI",,ERAIL_Data_Missing,Over-reliance on Ganger’s Handbook,,ERAIL_Data_Missing
8,IE-6262,gpt-4o-mini,2,29/04/2020,29/04/2020,Match,13:40,13:40,Match,Ireland,Ireland,Match,Collision at Level Crossing,Level crossing accident,Mismatch,Road Safety Authority,Railway Safety Commission,Mismatch,"Driver behavior at crossings, Misuse and abuse of level crossings",,ERAIL_Data_Missing,,,Match (Both Missing)
9,IE-6291,gpt-4o-mini,2,24/05/2020,24/05/2020,Match,12:13,12:15,Mismatch,Ireland,Ireland,Match,Level Crossing Incident,Level crossing event,Mismatch,Railway Accident Investigation Unit,Railway Safety Commission,Mismatch,Mid-Section CCTV Crossing functions,,ERAIL_Data_Missing,LCCO actions as per control centre instructions,,ERAIL_Data_Missing
