,ERAIL Occurrence,model_type,LLM_Date,Date of occurrence,Date_Match,LLM_Time,Time of occurrence,Time_Match,LLM_Country,Country,Country_Match,LLM_AccidentType,Occurrence type,AccidentType_Match,LLM_RegulatoryBody,Reporting Body,RegulatoryBody_Match,LLM_ContributingFactor,"Direct cause description (including causal and contributing factors, excluding those of systemic nature)",ContributingFactors_Match,LLM_SystemicFactor,"Underlying and root causes description (i.e. systemic factors, if any)",SystemicFactors_Match
0,AT-0038,gemini-2.5-pro,21/03/2012,21/03/2012,Match,09:42,00:00,Mismatch,Austria,Austria,Match,Level Crossing Accident involving a train and crossing vehicles,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes – Schiene,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Awareness,Disregard of the rules on the behavior at level crossings with level crossing road signals by the road user,Mismatch,,,Match (Both Missing)
1,AT-0038,gemini-2.5-pro,21/03/2012,21/03/2012,Match,09:42,00:00,Mismatch,Österreich,Austria,Mismatch,Collision of train with obstacle within the clearance gauge,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes – Schiene,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Awareness,Disregard of the rules on the behavior at level crossings with level crossing road signals by the road user,Mismatch,,,Match (Both Missing)
2,AT-0038,gpt-4o-mini,21/03/2012,21/03/2012,Match,09:42,00:00,Mismatch,Austria,Austria,Match,Collision of train with obstacle within the clearance gauge,Level crossing accident,Mismatch,Landeshauptmann von Kärnten,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Fatigue,Disregard of the rules on the behavior at level crossings with level crossing road signals by the road user,Mismatch,Monitoring,,ERAIL_Data_Missing
3,AT-0038,gpt-4o-mini,21/03/2012,21/03/2012,Match,09:42,00:00,Mismatch,Austria,Austria,Match,Level Crossing Accident,Level crossing accident,Mismatch,Österreichische Bundesbahnen,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Reinforcement,Disregard of the rules on the behavior at level crossings with level crossing road signals by the road user,Mismatch,Actions to address risks,,ERAIL_Data_Missing
4,AT-0039,gemini-2.5-pro,02/03/2012,02/03/2012,Match,11:47,11:47,Match,Austria,Austria,Match,Level Crossing Accident involving a train and crossing vehicles,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes – Schiene,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Reinforcement,Disregard of the rules on the behavior at level crossings with level crossing road signals by the road user,Mismatch,Safety objectives and planning,,ERAIL_Data_Missing
5,AT-0039,gemini-2.5-pro,02/03/2012,02/03/2012,Match,11:47,11:47,Match,Austria,Austria,Match,Collision of train with obstacle within the clearance gauge,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes – Schiene,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Reinforcement,Disregard of the rules on the behavior at level crossings with level crossing road signals by the road user,Mismatch,Safety Policy,,ERAIL_Data_Missing
6,AT-0039,gpt-4o-mini,02/03/2012,02/03/2012,Match,11:47,11:47,Match,Austria,Austria,Match,Collision of train with obstacle within the clearance gauge,Level crossing accident,Mismatch,Bundesanstalt für Verkehr,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Reinforcement,Disregard of the rules on the behavior at level crossings with level crossing road signals by the road user,Mismatch,Improvement,,ERAIL_Data_Missing
7,AT-0039,gpt-4o-mini,02/03/2012,02/03/2012,Match,11:47,11:47,Match,Österreich,Austria,Mismatch,Terrorism,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Nichtbeachtung der Bestimmungen der EKVO,Disregard of the rules on the behavior at level crossings with level crossing road signals by the road user,Mismatch,Verkürzung der erforderlichen Einschaltstrecke,,ERAIL_Data_Missing
8,AT-0043,gemini-2.5-pro,03/02/2012,03/02/2012,Match,13:35,13:35,Match,Austria,Austria,Match,Collisions,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Awareness,"Umfahren der Halbschrankenanlage 
Motorbike circumvent the half-barrier",Mismatch,Monitoring," 
",Mismatch
9,AT-0043,gemini-2.5-pro,03/02/2012,03/02/2012,Match,13:35,13:35,Match,Austria,Austria,Match,Collisions,Level crossing accident,Mismatch,Bundesanstalt für Verkehr,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Reinforcement,"Umfahren der Halbschrankenanlage 
Motorbike circumvent the half-barrier",Mismatch,Operational planning and control," 
",Mismatch
